signal,mean_vout_Y,variance_vout_Y,slope_vout
9,2.415767701574882,0.007504827817432974,-495186580.4376415
14,3.588260995692934,0.06861174213782957,-475201901.43466353
4,4.497961628876685,0.06073527292159543,-2076354085.00795
18,2.1830738429235503,0.0131941521600747,-973975120.4013968
19,1.6693335460012222,0.0471016776893805,-980063620.438656
32,3.5389778525790514,0.19145246929726273,-8009313.891638355
27,2.334203216402392,0.0029150538414366,-324242611.67131025
46,3.4128417691174966,0.024146123643171105,-422487243.7795794
47,3.467426042772781,0.0072968438098414,-313637771.0530016
56,4.274122106029572,0.0708514968161827,-926964866.595234
55,4.797372692301235,0.0080635100377058,-933563675.3621588
46,3.656723127679594,0.0021683711249517,-310839503.3701474
9,1.0341266854195668,0.002572951538217,-326942529.71698725
37,4.046459911262515,0.1344559334794446,-2169263373.849662
64,4.848331654516905,0.0027308394373544,-311048864.9496573
38,2.904139222703059,0.0693484505569461,-1955662531.337937
36,4.607752177568443,0.09403424993402419,-25073100.83394012
51,3.7005495683363616,1.1211660072196624e-08,235814.97926395203
17,2.301205196129637,0.0324629587972925,1053145491.3299671
10,0.8284586575040626,0.0028174506479757,-194765474.38385364
24,1.778413165145974,1.749985051975465e-11,-1552.0860043703892
39,2.7514710100217443,5.047151562541019e-09,-346779.45974850334
28,2.128711567979765,0.001790652108333,-182677001.0231633
15,1.123877792805957,5.852296857126193e-10,-1821.893692549234
48,3.387519352714041,1.995032379764887e-09,-186377.1367258009
23,1.7432043993472128,0.0037006636787399,202597713.10870808
50,3.492825702241572,0.0110071278159263,313497609.6409512
4,0.3073233416716288,0.0062756228949887,298048401.73323214
26,2.1863048785778383,0.0585376704231683,649426301.6881504
65,4.651877972171821,0.0015307624461193,-171812961.2142607
5,0.4766088339840529,2.832519133077304e-08,806891.6670411442
16,1.414095430058396,0.1037332417719588,1307401793.3005235
61,4.320255390080231,7.304627498831733e-10,-5153.62348015109
32,2.4285265579453816,3.8741314758031957e-10,-59832.68708667609
25,1.778415421114459,1.2035308906263928e-11,-51.71497957814336
22,1.490217926618094,0.0045051922846035,45978137.72126499
57,4.011198826221001,9.725373556857724e-10,127934.5287303303
20,1.451476406662656,7.426934432724701e-11,-62842.39464071624
13,1.0137511767767888,0.0120613925934134,326810347.53373545
21,1.4514624485763057,1.2390257026717309e-10,-3636.020169903371
7,0.4767111287606186,1.539800693552869e-11,-109.4886334557252
30,2.104157648957612,4.659257874662324e-11,289.74693828125663
8,0.8933053983459797,0.0600416851789667,650131515.0860226
3,0.1828949187933916,0.0001014438944884,5740812.306418199
43,3.071376354760705,4.5955856788668974e-09,-189217.3319049231
29,2.1041627531420803,9.467432598538153e-11,-1594.5261473159976
53,3.7630355002854152,0.0117028869510862,68590564.38211218
49,3.3875134976260344,1.289301654592318e-09,2207.486890472396
41,2.7514597715243574,4.767057155761662e-09,6262.422877672512
58,4.011203817870001,5.5250571724082795e-11,-4182.579438893077
40,2.751501781413575,5.940478762738035e-09,17453.00898043099
59,4.046380868426639,0.0037119423386373,50204896.54701539
44,3.071334799628166,2.1922328447277182e-10,-714.5956897363807
14,1.1238772678288975,6.313505965871601e-10,84620.1684616444
45,3.2570505054397807,0.0396517958738395,631149375.2212716
31,2.3208160106667086,0.011566484018628,324111232.39740366
52,3.700582015599924,2.0808775816384787e-10,1978.2774749359944
60,4.28631993646798,0.0034465109242763,191289034.72066265
42,2.963371290466084,0.0116457030665926,319107940.20469546
54,4.592242750829256,0.1260032817468388,1238048335.0115042
12,0.7976793598750828,4.5168601830628666e-12,-42.98666677221001
2,0.1770798837646597,4.918881965883786e-20,-0.0106865508505852
63,4.706803460786985,0.0540581752583196,620010797.2593257
62,4.320269476034465,3.9562782734565725e-10,-68.80574642305295
66,4.629269522049227,8.475689915212942e-10,-14969.376930640205
70,4.939749259113913,1.0891373473153469e-11,-94.8542580321524
11,0.7976801137023856,2.5509577003476466e-12,2809.930747120089
6,0.4767079002835235,3.0207950329962066e-11,1144.551027739813
68,4.835450373347446,0.0108429433807517,310744998.02646184
33,2.4285150629189203,3.867674074888928e-12,154.16331669525377
67,4.629254327878303,4.2900949940665424e-10,4034.558925503996
