Signal,Mean,Variance,Slope,Class,Non-Anomaly
38,1.2994198463189828,0,0.0006839211695327952,0,0
20,1.3044848464344478,0,0.0008575920688722482,0,0
30,1.311,0,0.000916,0,0
25,1.318,0,0.000916,0,0
20,1.345,0,0.000892,0,0
24,1.327,0,0.000855,0,0
29,1.321,0,0.000855,0,0
27,1.339,0,0.000732,0,0
42,1.341,0,0.000708,1,1
15,1.344,0,0.000892,0,0
10,1.315,0,0.000892,0,0
40,1.208,0,0.000892,1,1
45,1.323,0,0.000892,1,1
26,1.349,0,0.000671,0,0
7,1.343,0,0.000708,0,0
28,1.33,0,0.000794,0,0
37,1.241,0,0.000708,1,1
21,1.355,0,0.000671,0,0
18,1.359,0,0.000769,0,0
23,1.336,0,0.000794,0,0
8,1.334,0,0.000769,0,0
5,1.322,0,0.000892,0,0
39,1.219,0,0.000831,1,1
35,1.223,0,0.000892,1,1
38,1.23,0,0.000769,1,1
36,1.252,0,0.000646,1,1
9,1.324,0,0.000831,0,0
4,1.331,0,0.000831,0,0
54,1.23,0,0.000855,1,1
59,1.215,0,0.000855,1,1
17,1.366,0,0.000708,0,0
3,1.34,0,0.000769,0,0
16,1.373,0,0.000646,0,0
22,1.346,0,0.000732,0,0
44,1.329,0,0.000831,1,1
43,1.335,0,0.000769,1,1
46,1.345,0,0.000646,1,1
19,1.352,0,0.000831,0,0
55,1.219,0,0.000916,1,1
47,1.339,0,0.000708,1,1
52,1.251,0,0.000732,1,1
56,1.248,0,0.000671,1,1
31,1.267,0,0.000646,1,1
41,1.347,0,0.000646,1,1
34,1.234,0,0.000831,1,1
57,1.237,0,0.000732,1,1
50,1.321,0,0.000892,1,1
33,1.245,0,0.000769,1,1
58,1.226,0,0.000794,1,1
53,1.241,0,0.000794,1,1
32,1.256,0,0.000708,1,1
13,1.358,0,0.000769,0,0
12,1.365,0,0.000708,0,0
2,1.349,0,0.000708,0,0
51,1.263,0,0.000671,1,1
11,1.373,0,0.000646,0,0
6,1.353,0,0.000646,0,0
14,1.351,0,0.000831,0,0
48,1.333,0,0.000769,1,1
49,1.327,0,0.000831,1,1
