Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
27,0.0015327778538345,6.927423532863948e-13,3.739963931535657e-07,1.3970215133972792,3.558982013980716e-05,-0.0026432712275197
26,0.001531125165414,1.6726385311794406e-13,1.856973804000107e-07,1.409365481273914,7.428521421030022e-06,-0.0011004527157283
55,0.0025321317792148,2.953489525311814e-13,2.501221357286008e-07,1.4016910372564788,1.4836095893629344e-05,-0.0017560766390797
7,0.0005314703653935,7.68736310729041e-14,1.27523932446432e-07,1.407387682248444,1.3077659434196486e-05,-0.0016175135313123
16,0.0009699571914862,8.296478663266397e-13,3.461711299857128e-07,1.408436243759169,9.395806958456928e-06,0.0010774196613422
56,0.0025379930080762,2.023194337934872e-11,2.0028008049321344e-06,1.3442833950952124,0.0029841817454412,-0.02337165740389
28,0.0015443532326063,6.397908552854506e-11,3.651118689182149e-06,1.2008075475105786,0.0465187571854571,-0.0905699704531902
8,0.0005329370948129,8.766422148661544e-13,4.1723390047857017e-07,1.395889843750157,4.792960604647376e-05,-0.0030564836165906
58,0.0025738138685986,6.817202227102688e-11,3.689000205467852e-06,0.2926724575579694,0.0012799661410872,-0.0165097847466468
29,0.0015657275618479,2.1893577732500148e-11,2.162556418714308e-06,0.3756969302304437,0.0096292159380678,-0.0421837627028343
54,0.0025306399421192,2.923397101735964e-13,2.3273081828925325e-07,1.4110835447272034,2.07987717292697e-07,-0.0001597346388942
5,0.0005217782783449,4.6065046363679927e-11,3.0500723994321373e-06,1.4119316668393522,1.66014753342002e-07,-0.0001850867924379
25,0.0015266021611852,1.691709129334476e-11,1.7455683531321343e-06,1.4116216259657297,9.999831539426357e-08,-0.0001376362255773
10,0.0005666725852541,2.814589679599572e-11,2.435847794996421e-06,0.3627266337101539,0.0086251979625456,-0.0396357548032399
17,0.0009707279765634,2.6440533090048016e-14,7.212469934643863e-08,1.4102903687298678,2.7405086201683684e-08,7.478203816085882e-05
11,0.0006154109470656,9.992097851501751e-10,1.442524128518215e-05,0.2299133156771605,0.0004364145941812,-0.009508919477734
13,0.0008830068260499,1.5988095238095223e-09,1.839285714285713e-05,0.2375439562531178,0.001335787830919,0.0158673637111431
18,0.0009747540170167,1.1772847771293423e-11,1.5315016164999974e-06,1.4114498470245824,2.3748749317775693e-07,0.000225414149253
24,0.0014990539660439,2.3987031627029587e-10,6.982198709585712e-06,1.4124867470804898,5.2717149145020925e-09,-3.087455339475679e-05
15,0.0009588562297783,4.5702805572261615e-11,3.108730336185722e-06,1.2906129428663446,0.0099311627244509,0.0453537698848987
6,0.0005301350014656,5.70309887207386e-13,3.378492768249854e-07,1.4113266597428764,6.129706182202177e-09,-3.537384803725674e-05
30,0.0016056214107161,6.714885098785737e-10,1.170981550089288e-05,0.2359018638930194,0.0004500619299781,-0.0097613055632067
52,0.0024683064702667,1.0590133922411227e-09,1.4996915525489255e-05,1.4125430647803623,1.0881550211350215e-09,-1.4395791604774173e-05
39,0.0019688805845859,4.73504369365444e-13,3.1608658878570186e-07,1.405278082090171,8.734571690968413e-06,0.001359336341887
53,0.0025220945341501,3.8020418155926735e-11,2.809349710599958e-06,1.411925152107574,1.5247229811108576e-07,-0.0001793347491113
19,0.0009929786938254,3.065621122834304e-11,2.530304803582128e-06,1.4124431511932891,3.7085692168247117e-09,2.4037590831249567e-05
41,0.0019711071915513,6.044412365690095e-13,3.2696791691432985e-07,1.4105270890444246,2.016860026084721e-07,0.0002030968282575
20,0.0010409242453997,1.0294891664575663e-09,1.4530502244049994e-05,1.412543575873172,5.66467712386927e-10,1.085816600594163e-05
43,0.0019989108239028,5.2769132778085736e-11,3.312783916949968e-06,1.4124826959066916,7.160114507067776e-10,1.2193976251850812e-05
